OBJECTID,GEOID10,DP0080001,DP0080003,DP0080004,DP0080005,DP0080006,TotlPopOth,Div_Index
1,51810045421,3656,2680,478,9,277,212,0.43644705
2,51810045422,4972,3459,782,21,403,307,0.48086986
3,51810046015,5403,3100,1232,18,613,440,0.59929593
4,51810045423,8805,6426,1606,18,443,312,0.43031401
5,51810046016,3447,2168,604,2,484,189,0.55099252
6,51810045424,4442,3731,311,18,207,175,0.28586386
7,51810045412,1658,1600,15,8,12,23,0.06839012
8,51810045807,1518,926,389,4,57,142,0.55204823
10,51810040200,5283,1844,2844,45,121,429,0.58117729
11,51810046014,4342,2049,1236,27,670,360,0.66555253
12,51810046221,3716,1260,1973,19,126,338,0.59367443
13,51810046220,4683,2009,2191,26,162,295,0.59186924
14,51810046223,2731,1886,410,4,324,107,0.48493549
15,51810046222,5424,3781,836,13,527,267,0.47844456
16,51810040404,6718,4552,1106,14,714,332,0.50003558
17,51810040402,6995,1978,4327,17,206,467,0.53206181
18,51810040600,5879,2004,3194,19,195,467,0.58122045
19,51810041004,3963,2574,797,26,194,372,0.5264434
20,51810041002,2043,1463,317,15,88,160,0.45507683
21,51810041200,5997,5165,452,16,178,186,0.25069351
22,51810046225,4780,2709,1113,5,656,297,0.60189685
23,51810046224,4446,1901,1538,15,607,385,0.67136279
24,51810045603,1689,1102,361,4,100,122,0.5198882
25,51810045425,2976,2547,205,15,91,118,0.26024865
26,51810041400,5145,4146,428,11,360,200,0.3373048
27,51810041600,3325,2813,204,2,201,105,0.27584238
28,51810042201,3625,3275,134,8,111,97,0.18075624
29,51810042000,3502,3233,71,13,110,75,0.14585611
30,51810042202,4468,4037,186,14,107,124,0.18053567
31,51810042400,4837,3876,563,17,151,230,0.34108565
32,51810042600,2488,1755,505,8,67,153,0.45671506
33,51810043002,4259,3959,41,9,164,86,0.13392883
34,51810040801,4107,2841,797,19,170,280,0.47744611
35,51810043200,1134,688,295,4,12,135,0.54994261
36,51810043400,2055,1988,10,5,20,32,0.06377703
37,51810043600,1724,1669,6,2,15,32,0.06235364
38,51810043800,3714,3546,53,6,41,68,0.08775901
39,51810044001,5535,4253,728,19,113,422,0.38604684
40,51810045000,1298,775,421,5,45,52,0.53548305
41,51810044401,3628,3398,46,20,79,85,0.12155837
42,51810044402,5881,4924,434,25,170,328,0.28956437
43,51810044600,5999,5716,97,6,96,84,0.09140902
44,51810044807,5762,3955,1125,27,198,457,0.48325002
45,51810044805,3277,2190,681,19,100,287,0.50156196
46,51810044806,3758,1925,1387,28,95,323,0.59330812
47,51810044808,3986,2876,711,24,124,251,0.4426145
48,51810045414,6161,3083,1943,36,419,680,0.63329406
49,51810045200,3734,2480,738,22,101,393,0.50797546
50,51810045415,1974,1347,350,10,111,156,0.4935001
51,51810045405,4651,2297,1519,19,481,335,0.63352487
52,51810045406,9254,4134,2948,31,1296,845,0.67099009
53,51810045407,4434,2869,883,20,322,340,0.53050015
54,51810045408,6415,4527,1020,22,275,571,0.46694792
55,51810045417,9169,7532,751,20,375,491,0.31394378
56,51810045810,2067,581,1144,7,164,171,0.60152431
57,51810045601,2795,2345,263,16,74,97,0.28528966
58,51810045805,1344,999,212,5,46,82,0.41771076
59,51810045801,4525,3201,742,15,226,341,0.46450733
60,51810045803,3202,2148,678,11,146,219,0.49838249
61,51810046009,4932,3881,633,38,178,202,0.36127349
62,51810046002,5126,3975,675,18,285,173,0.37708154
63,51810046005,6605,4111,1606,23,396,469,0.54483904
64,51810046006,4510,3677,350,24,300,159,0.32356841
65,51810046211,3063,2322,351,10,254,126,0.40360312
66,51810046012,7772,3878,2297,40,818,739,0.64353447
67,51810046013,4397,1995,1580,13,434,375,0.64799251
68,51810046204,4639,3709,552,18,218,142,0.3434393
69,51810046206,5185,3242,885,21,795,242,0.55420626
70,51810046213,6149,3094,1668,24,780,583,0.64813926
71,51810046207,7044,4175,1823,18,533,495,0.57105446
72,51810046400,4998,4584,243,17,41,113,0.15585105
73,51810040000,3976,2539,874,36,114,413,0.53219961
74,51810040403,3810,2454,874,10,265,207,0.52472316
75,51810040802,4771,2529,1480,36,360,366,0.61115361
76,51810041003,3512,2583,501,18,164,246,0.43160822
77,51810041801,4334,3292,599,32,100,311,0.39820713
78,51810041802,5788,5305,164,18,120,181,0.1577131
79,51810042802,4549,2469,1488,19,185,388,0.5894713
80,51810042801,5775,4053,1028,37,192,465,0.46813437
81,51810044200,6587,3743,1936,40,145,723,0.57814928
82,51810045420,4636,4179,199,9,121,128,0.18414557
83,51810045806,4086,2346,1186,18,225,311,0.57724979
84,51810045808,2330,1290,720,7,117,196,0.58837812
85,51810045809,6293,3112,1981,18,674,508,0.6383611
86,51810046010,3132,2151,640,27,129,185,0.48131551
87,51810046011,1515,1065,267,5,88,90,0.46785914
88,51810046212,4062,2941,534,6,400,181,0.44681695
89,51810046214,5208,3071,1200,9,589,339,0.58216813
90,51810046216,5939,3235,1362,17,914,411,0.62222214
91,51810046219,3733,1821,854,18,778,262,0.66131961
92,51810046217,4354,2178,941,5,921,309,0.65327834
93,51810044004,2069,1707,196,11,50,105,0.30715333
94,51810045604,6335,3767,1759,33,246,530,0.56078002
95,51810043003,4228,3998,58,8,93,71,0.10488161
96,51810043004,3803,3528,74,15,81,105,0.1377836
97,51810044003,5469,4882,288,24,79,196,0.19885883
98,51810045426,6739,5354,728,22,279,356,0.35261631
99,51810045427,6281,4786,875,17,226,377,0.39507392
100,51810045428,1462,1354,35,3,42,28,0.14051642
