X,Y,OBJECTID,FACILITY_ID,DRAW_SYMBOL,FACILITY_TYPE
-77.336585,38.976587,3,0,100,MULCH DISTRIBUTION CENTER
-77.377879,38.855006,2,0,100,MULCH DISTRIBUTION CENTER
-77.379079,38.852429,1,3,138,RECYCLING CENTER
-77.189729,38.928639,4,1,100,MULCH DISTRIBUTION CENTER
-77.193291,38.830574,6,3,138,RECYCLING CENTER
-77.300065,38.788154,5,3,0,RECYCLING CENTER
-77.255911,38.941765,7,0,138,MULCH DISTRIBUTION CENTER
-77.293043,38.875794,8,3,138,RECYCLING CENTER
-77.386786,38.743287,9,,100,MULCH DISTRIBUTION CENTER
-77.181819,38.737943,10,0,150,COLLECTION DEPOT
-77.188175,38.891582,11,3,138,RECYCLING CENTER
-77.250662,38.695519,12,3,138,RECYCLING CENTER
-77.25229,38.693387,13,0,100,MULCH DISTRIBUTION CENTER
-77.114883,38.709102,14,1,100,MULCH DISTRIBUTION CENTER
-77.336086,38.974797,15,3,138,RECYCLING CENTER
-77.226195,38.815287,16,3,138,RECYCLING CENTER
-77.226128,38.815355,17,3,0,RECYCLING CENTER
-77.395667,38.974095,18,3,138,RECYCLING CENTER
-77.066155,38.769828,21,3,138,RECYCLING CENTER
-77.375758,38.852674,20,2,101,DISPOSAL FACILITY
-77.371571,38.925986,19,3,138,RECYCLING CENTER
-77.249134,38.693365,23,2,101,DISPOSAL FACILITY
-77.228423,38.853462,22,1,100,MULCH DISTRIBUTION CENTER
